date,name,value
2003-03-01,Mac,1.8
2003-03-01,Linux,2.2
2003-03-01,Win95,0.8
2003-03-01,WinNT,6.6
2003-03-01,Win98,14.8
2003-03-01,Win2000,41.9
2003-03-01,WinXP,29.1
2003-05-01,Mac,1.8
2003-05-01,Linux,2.2
2003-05-01,Win95,0.7
2003-05-01,WinNT,5.8
2003-05-01,Win98,13.9
2003-05-01,Win2000,41
2003-05-01,WinXP,31.4
2003-07-01,Mac,1.9
2003-07-01,Linux,2.3
2003-07-01,Win95,0.6
2003-07-01,WinNT,5.3
2003-07-01,Win98,12.6
2003-07-01,Win2000,40.6
2003-07-01,WinXP,33.9
2003-09-01,Mac,2
2003-09-01,Linux,2.4
2003-09-01,Win95,0.5
2003-09-01,WinNT,4.1
2003-09-01,Win98,12.1
2003-09-01,Win2000,37.9
2003-09-01,WinXP,38
2003-11-01,Mac,2.2
2003-11-01,Linux,2.6
2003-11-01,Win95,0.4
2003-11-01,WinNT,3.5
2003-11-01,Win98,10.9
2003-11-01,Win2000,36.3
2003-11-01,WinXP,42.6
2004-01-01,Mac,2.4
2004-01-01,Linux,2.7
2004-01-01,Win95,0.4
2004-01-01,WinNT,3
2004-01-01,Win98,10.4
2004-01-01,Win2000,33.6
2004-01-01,WinXP,44.1
2004-03-01,Mac,2.4
2004-03-01,Linux,2.6
2004-03-01,Win95,0.4
2004-03-01,WinNT,2.4
2004-03-01,Win98,9.4
2004-03-01,Win2000,31.1
2004-03-01,WinXP,48
2004-05-01,Mac,2.5
2004-05-01,Linux,2.9
2004-05-01,Win95,0.3
2004-05-01,WinNT,2
2004-05-01,Win98,8.2
2004-05-01,Win2000,29.6
2004-05-01,WinXP,51
2004-07-01,Mac,2.4
2004-07-01,Linux,3.1
2004-07-01,Win95,0.2
2004-07-01,WinNT,1.9
2004-07-01,Win98,7.5
2004-07-01,Win2000,28.4
2004-07-01,WinXP,52.5
2004-09-01,Mac,2.6
2004-09-01,Linux,3.1
2004-09-01,Win95,0.2
2004-09-01,WinNT,1.5
2004-09-01,Win98,6.4
2004-09-01,Win2000,26.2
2004-09-01,WinXP,55.9
2004-11-01,Mac,2.7
2004-11-01,Linux,3.1
2004-11-01,Win95,0.1
2004-11-01,WinNT,1.2
2004-11-01,Win98,5.6
2004-11-01,Win2000,23.7
2004-11-01,WinXP,59.1
2005-01-01,Mac,2.8
2005-01-01,Linux,3.2
2005-01-01,WinNT,1
2005-01-01,Win98,5.3
2005-01-01,Win2000,21.6
2005-01-01,WinXP,61.3
2005-01-01,Win2003,1.2
2005-03-01,Mac,3
2005-03-01,Linux,3.2
2005-03-01,WinNT,0.9
2005-03-01,Win98,4.7
2005-03-01,Win2000,20.2
2005-03-01,WinXP,63.1
2005-03-01,Win2003,1.4
2005-05-01,Mac,2.9
2005-05-01,Linux,3.3
2005-05-01,WinNT,0.8
2005-05-01,Win98,3.9
2005-05-01,Win2000,19.4
2005-05-01,WinXP,64.5
2005-05-01,Win2003,1.4
2005-07-01,Mac,3
2005-07-01,Linux,3.5
2005-07-01,WinNT,0.6
2005-07-01,Win98,3.9
2005-07-01,Win2000,17.7
2005-07-01,WinXP,65.3
2005-07-01,Win2003,1.6
2005-09-01,Mac,3.1
2005-09-01,Linux,3.3
2005-09-01,WinNT,0.5
2005-09-01,Win98,3.2
2005-09-01,Win2000,15.8
2005-09-01,WinXP,69.2
2005-09-01,Win2003,1.7
2005-11-01,Mac,3.3
2005-11-01,Linux,3.3
2005-11-01,WinNT,0.4
2005-11-01,Win98,2.7
2005-11-01,Win2000,14.6
2005-11-01,WinXP,71
2005-11-01,Win2003,1.7
2006-01-01,Mac,3.5
2006-01-01,Linux,3.3
2006-01-01,WinNT,0.3
2006-01-01,Win98,2.4
2006-01-01,Win2000,13.1
2006-01-01,WinXP,72.3
2006-01-01,Win2003,1.7
2006-03-01,Mac,3.5
2006-03-01,Linux,3.4
2006-03-01,WinNT,0.3
2006-03-01,Win98,2
2006-03-01,Win2000,11.9
2006-03-01,WinXP,72.9
2006-03-01,Win2003,1.8
2006-05-01,Mac,3.6
2006-05-01,Linux,3.4
2006-05-01,WinNT,0.2
2006-05-01,Win98,1.6
2006-05-01,Win2000,10.7
2006-05-01,WinXP,74.2
2006-05-01,Win2003,2
2006-07-01,Mac,3.6
2006-07-01,Linux,3.4
2006-07-01,WinNT,0.3
2006-07-01,Win98,1.5
2006-07-01,Win2000,10.1
2006-07-01,WinXP,74.3
2006-07-01,Win2003,2
2006-09-01,Mac,3.6
2006-09-01,Linux,3.5
2006-09-01,WinNT,0.3
2006-09-01,Win98,1.4
2006-09-01,Win2000,9.2
2006-09-01,WinXP,74.6
2006-09-01,Win2003,2
2006-11-01,Mac,3.6
2006-11-01,Linux,3.5
2006-11-01,WinNT,0.3
2006-11-01,Win98,1
2006-11-01,Win2000,8
2006-11-01,WinXP,74.9
2006-11-01,Win2003,1.9
2007-01-01,Mac,3.8
2007-01-01,Linux,3.6
2007-01-01,Win98,1
2007-01-01,Win2000,7.7
2007-01-01,WinXP,76.1
2007-01-01,Win2003,1.9
2007-01-01,Vista,0.6
2007-03-01,Mac,3.8
2007-03-01,Linux,3.4
2007-03-01,Win98,0.9
2007-03-01,Win2000,7.2
2007-03-01,WinXP,76
2007-03-01,Win2003,1.9
2007-03-01,Vista,1.9
2007-05-01,Mac,3.9
2007-05-01,Linux,3.4
2007-05-01,Win98,0.9
2007-05-01,Win2000,6.5
2007-05-01,WinXP,75
2007-05-01,Win2003,1.9
2007-05-01,Vista,2.8
2007-07-01,Mac,4
2007-07-01,Linux,3.4
2007-07-01,Win98,0.9
2007-07-01,Win2000,6
